locality,site,pp,pq,qq,latitude,longitude,collection-aprox,collection-year,collection-month
"Byron, WA (Byron Pond mix)",01-BYRWA,37,2,0,46.193,-119.899,9/26/23,2023,Sep
"Lincoln, CA (1-2 mix)",10-LINCA,38,2,0,38.904465,-121.306331,9/18/23,2023,Sep
"Cook County, IL (mix)",02-COOIL,17,0,0,42.031763,-87.930871,7/31/23-8/1/23,2023,Jul-Aug
"Barnstable County, MA",03-BARMA,12,0,0,41.793615,-69.994266,8/18/23,2023,Aug
"Cache, UT (Hyde Park)",04-USUUT,20,0,0,41.79696,-111.82005,7/25/23,2023,Sep
"Box Elder, UT (Tremonton)",05-BOXUT,20,0,0,41.699446,-112.163864,7/25/24,2024,Sep
"Vernal, Utah (Boothill)",06-VERUT,28,0,0,40.2618,-109.3511,7/16/24,2024,Jul
"Ute Tribe, Utah (Yellowstone)",07-UTEUT,18,0,0,40.3289,-109.8911,7/2/24,2024,Jul
"Ogden, UT (mix of sites)",08-OGDUT,7,0,0,41.203587,-112.048028,9/19/24,2024,Sep
"Salt Lake City, UT (mix of sites)",09-SLCUT,2,11,7,40.74804853,-111.9678782,9/19/23,2023,Sep
"Provo, UT (mix of sites)",10-PROUT,12,0,0,40.2006463,-111.6273074,,2024,Jul-Sep
"Moab, UT",11-MOAUT,5,0,0,38.59597,-109.5737639,05/01/24,2024,May
"Fort Collins, CO",12-CSUCO,19,0,0,40.384280,-104.7894,05/01/24,2023,May-Sep
"Dallas-Fort Worth, TX",13-DFWTX,0,3,16,32.87272,-97.345164,10/28/24,2024,Oct
"College Station, TX",14-COSTX,0,3,17,30.60044,-96.26893,11/11/23,2023,Nov
"Slidell, LA",15-SLILA,0,1,18,30.327,-89.749,4/30/24,2024,Apr
"St George, Washington County, UT (1-3 mix)",16-STGUT,0,0,38,37.179,-113.32,10/10/23,2023,Oct
"Phoenix, Maricopa County, AZ",17-PHOAZ,0,0,20,33.4484367,-112.07414,2/24/24,2024,Feb
"Maricopa, AZ",18-MARAZ,0,0,16,33.0736167,-111.9737667,10/22/23,2023,Oct
"Hunterdon, NJ",19-HUNNJ,16,2,1,40.539588,-74.834616,9/12/23,2023,Sep
"Somerset, NJ",20-SOMNJ,12,3,0,40.533576,-74.586099,9/20/23,2023,Sep
"Sutter-Yuba, CA",21-SUTCA,9,8,1,39.166466,-121.598446,10/11/23,2023,Sep
"Rockville, MD",22-ROCMD,17,3,0,39.057753,-77.130547,6/6/23,2023,Jun
"Anastasia, FL",23-ANAFL,0,0,19,29.903108,-81.400743,10/2023-11/2023,2023,Oct-Nov
"Miami-Dade County, FL",24-MIAFL,0,0,19,25.80141,-80.19909,11/28/2023-11/29/2023,2023,Nov
